iter	Logloss
0	0.6524822931
1	0.6144640524
2	0.581669920933	0.549743231444	0.523053290555	0.497840540666	0.475070988877	0.453871253588	0.4348294359	9	0.4197995610	10	0.404686011	011	0.391317812	012	0.378862613	013	0.368975314	014	0.359057815	015	0.351159016	016	0.341923117	017	0.334705518	018	0.327536919	019	0.321282320	020	0.315074421	021	0.310441522	22	0.3048736323	23	0.2997551324	24	0.2955803625	25	0.2915113026	26	0.287766872727	0.2838382542828	0.2797360732929	0.2768873863030	0.2743169733131	0.2712991873232	0.2690090763333	0.265928062334	0.2630581873335	0.2605897853636	0.2587633223737	0.2568263063838	0.2549037853939	0.2533624264040	0.2516906854141	0.2498689074242	0.248249195443	0.2468141133444	0.2453258203445	0.2439894614446	0.2422950245447	0.2406571221448	0.2394247477449	0.2379373643550	0.2368688928551	0.235562086
52	0.2344743174
53	0.2333253677
54	0.2322578539
55	0.2311114638
56	0.2301130462
57	0.2292419352
58	0.2282012446
59	0.2273068066
60	0.2263305632661	0.2255030333662	0.2247658298663	0.2239208528664	0.223045311
65	0.2223470306
66	0.2216466753
67	0.2209167416
68	0.2202139239
69	0.2195053543
70	0.2188964799
71	0.2181679912
72	0.2175237768
73	0.2169372398
74	0.2163400503
75	0.2157456748
76	0.2152121808
77	0.2146625774
78	0.2142062555
79	0.2137112607
80	0.2132093839
81	0.2127404547
82	0.2122886086
83	0.2117649073
84	0.2113490901
85	0.2108944066
86	0.2105779527
87	0.2101849938
88	0.2096967149
89	0.2092564988
90	0.2088384027
91	0.2083275068
92	0.2079323925
93	0.2075193483
94	0.2071310154
95	0.2067921437
96	0.2064234402
97	0.2061299475
98	0.2056950101
99	0.2053951167
