iter	Passed	Remaining
0	56	56879
1	97	48719
2	138	45990
3	181	45212
4	230	45791
5	275	45685
6	318	45224
7	362	44890
8	411	45296
9	458	45401
10	497	44720
11	538	44363
12	577	43880
13	615	43317
14	657	43175
15	696	42823
16	735	42517
17	778	42466
18	821	42421
19	865	42416
20	903	42115
21	940	41805
22	980	41633
23	1022	41582
24	1073	41885
25	1116	41828
26	1157	41709
27	1200	41682
28	1246	41751
29	1296	41921
30	1343	41997
31	1399	42347
32	1441	42244
33	1485	42199
34	1536	42368
35	1587	42519
36	1637	42623
37	1682	42605
38	1732	42701
39	1779	42714
40	1819	42565
41	1868	42627
42	1907	42444
43	1950	42371
44	1996	42374
45	2039	42299
46	2084	42262
47	2120	42060
48	2168	42083
49	2211	42022
50	2250	41883
51	2288	41726
52	2327	41581
53	2365	41439
54	2411	41431
55	2451	41319
56	2490	41200
57	2529	41082
58	2570	41000
59	2606	40842
60	2649	40782
61	2686	40650
62	2721	40479
63	2756	40312
64	2794	40202
65	2830	40049
66	2871	39981
67	2910	39887
68	2944	39725
69	2980	39591
70	3016	39466
71	3056	39399
72	3103	39412
73	3145	39367
74	3186	39295
75	3223	39188
76	3259	39071
77	3298	38989
78	3344	38991
79	3389	38974
80	3436	38986
81	3472	38879
82	3511	38791
83	3551	38729
84	3600	38761
85	3642	38713
86	3684	38664
87	3730	38657
88	3777	38669
89	3825	38684
90	3874	38700
91	3918	38673
92	3959	38619
93	4001	38568
94	4049	38577
95	4093	38544
96	4134	38491
97	4177	38445
98	4225	38459
99	4285	38572
100	4358	38798
101	4432	39021
102	4568	39785
103	4630	39893
104	4692	39999
105	4746	40027
106	4800	40064
107	4860	40140
108	4927	40280
109	5006	40505
110	5081	40697
111	5152	40849
112	5218	40959
113	5281	41046
114	5351	41186
115	5415	41272
116	5481	41369
117	5548	41469
118	5602	41477
119	5660	41508
120	5730	41627
121	5804	41771
122	5861	41796
123	5922	41841
124	6007	42055
125	6064	42064
126	6127	42120
127	6168	42026
128	6219	41990
129	6281	42038
130	6338	42048
131	6385	41987
132	6427	41901
133	6486	41917
134	6537	41890
135	6592	41883
136	6648	41883
137	6700	41856
138	6754	41840
139	6805	41802
140	6851	41740
141	6900	41692
142	6946	41632
143	6994	41579
144	7049	41569
145	7101	41538
146	7150	41491
147	7199	41445
148	7250	41411
149	7300	41368
150	7352	41339
151	7390	41232
152	7433	41154
153	7478	41083
154	7520	40998
155	7577	40995
156	7614	40885
157	7655	40795
158	7693	40691
159	7735	40612
160	7775	40522
161	7823	40468
162	7863	40376
163	7901	40278
164	7939	40177
165	7988	40135
166	8041	40109
167	8091	40072
168	8146	40057
169	8196	40019
170	8246	39980
171	8292	39918
172	8329	39819
173	8373	39748
174	8412	39657
175	8454	39584
176	8498	39513
177	8541	39443
178	8586	39382
179	8631	39322
180	8677	39263
181	8723	39206
182	8772	39163
183	8820	39116
184	8871	39081
185	8921	39042
186	8968	38990
187	9011	38922
188	9055	38857
189	9098	38790
190	9137	38703
191	9176	38616
192	9224	38569
193	9268	38508
194	9322	38486
195	9375	38458
196	9420	38401
197	9461	38322
198	9505	38260
199	9552	38209
200	9603	38175
201	9643	38097
202	9687	38032
203	9728	37959
204	9773	37902
205	9827	37879
206	9879	37846
207	9922	37781
208	9969	37732
209	10015	37677
210	10066	37641
211	10109	37578
212	10155	37521
213	10203	37475
214	10246	37410
215	10294	37364
216	10337	37298
217	10375	37218
218	10417	37150
219	10464	37100
220	10516	37070
221	10571	37048
222	10618	36997
223	10662	36939
224	10712	36899
225	10765	36870
226	10811	36816
227	10857	36761
228	10904	36714
229	10960	36692
230	11023	36695
231	11068	36641
232	11117	36595
233	11161	36535
234	11204	36475
235	11251	36424
236	11309	36408
237	11364	36386
238	11426	36384
239	11479	36350
240	11521	36286
241	11570	36240
242	11610	36170
243	11655	36112
244	11705	36071
245	11755	36030
246	11804	35986
247	11848	35926
248	11897	35883
249	11947	35841
250	11995	35794
251	12041	35741
252	12087	35690
253	12136	35645
254	12193	35624
255	12256	35619
256	12319	35615
257	12380	35606
258	12440	35591
259	12504	35589
260	12563	35572
261	12618	35543
262	12675	35521
263	12734	35501
264	12798	35497
265	12860	35486
266	12920	35472
267	12981	35456
268	13109	35624
269	13179	35633
270	13230	35591
271	13278	35538
272	13320	35472
273	13374	35437
274	13445	35447
275	13517	35459
276	13579	35443
277	13640	35427
278	13694	35390
279	13747	35350
280	13811	35338
281	13864	35301
282	13910	35244
283	13963	35204
284	14016	35163
285	14072	35133
286	14145	35142
287	14210	35130
288	14262	35087
289	14312	35039
290	14358	34982
291	14403	34922
292	14446	34860
293	14493	34805
294	14548	34767
295	14620	34774
296	14676	34738
297	14725	34689
298	14772	34633
299	14816	34572
300	14860	34509
301	14901	34442
302	14948	34385
303	14993	34326
304	15037	34266
305	15082	34205
306	15121	34134
307	15165	34073
308	15211	34016
309	15256	33957
310	15303	33903
311	15351	33851
312	15398	33798
313	15444	33741
314	15489	33682
315	15531	33618
316	15573	33555
317	15613	33486
318	15654	33418
319	15692	33346
320	15732	33277
321	15770	33206
322	15809	33135
323	15845	33060
324	15886	32994
325	15925	32925
326	15968	32864
327	16006	32793
328	16049	32732
329	16092	32673
330	16132	32605
331	16172	32540
332	16214	32477
333	16260	32423
334	16302	32362
335	16341	32294
336	16382	32229
337	16420	32161
338	16461	32097
339	16499	32028
340	16539	31963
341	16585	31910
342	16627	31849
343	16668	31787
344	16709	31723
345	16751	31663
346	16791	31598
347	16831	31534
348	16871	31471
349	16910	31405
350	16946	31333
351	16984	31267
352	17025	31206
353	17067	31145
354	17108	31084
355	17149	31022
356	17189	30960
357	17234	30906
358	17279	30852
359	17318	30789
360	17358	30725
361	17402	30670
362	17446	30615
363	17489	30559
364	17528	30494
365	17570	30436
366	17614	30380
367	17658	30327
368	17706	30279
369	17753	30228
370	17796	30171
371	17847	30129
372	17902	30094
373	17955	30053
374	18005	30009
375	18053	29960
376	18097	29906
377	18149	29865
378	18195	29813
379	18271	29811
380	18330	29780
381	18384	29742
382	18437	29702
383	18488	29658
384	18532	29603
385	18579	29554
386	18634	29516
387	18687	29476
388	18744	29442
389	18803	29411
390	18870	29390
391	18932	29364
392	18986	29325
393	19039	29283
394	19089	29237
395	19145	29202
396	19191	29149
397	19251	29119
398	19313	29091
399	19378	29067
400	19438	29036
401	19493	28998
402	19548	28958
403	19605	28923
404	19671	28899
405	19739	28879
406	19820	28877
407	19883	28849
408	19944	28819
409	19993	28771
410	20049	28732
411	20103	28691
412	20151	28641
413	20197	28589
414	20249	28544
415	20301	28500
416	20357	28460
417	20417	28428
418	20475	28392
419	20553	28383
420	20622	28361
421	20681	28327
422	20736	28285
423	20787	28240
424	20841	28196
425	20915	28181
426	20960	28126
427	21013	28083
428	21071	28045
429	21121	27998
430	21167	27944
431	21218	27897
432	21277	27861
433	21329	27817
434	21387	27779
435	21466	27768
436	21528	27735
437	21585	27696
438	21657	27676
439	21697	27614
440	21747	27566
441	21792	27511
442	21828	27445
443	21868	27384
444	21906	27322
445	21946	27260
446	21998	27214
447	22042	27159
448	22090	27108
449	22143	27064
450	22190	27012
451	22240	26963
452	22287	26911
453	22332	26857
454	22372	26797
455	22413	26739
456	22462	26689
457	22517	26646
458	22557	26587
459	22603	26534
460	22648	26480
461	22703	26438
462	22760	26398
463	22807	26346
464	22847	26287
465	22889	26229
466	22934	26176
467	22982	26125
468	23020	26064
469	23067	26012
470	23108	25953
471	23153	25900
472	23200	25848
473	23242	25792
474	23284	25735
475	23325	25678
476	23368	25621
477	23416	25572
478	23458	25515
479	23502	25460
480	23549	25410
481	23604	25367
482	23665	25331
483	23717	25285
484	23757	25226
485	23800	25172
486	23855	25128
487	23898	25074
488	23942	25019
489	23993	24972
490	24051	24933
491	24115	24899
492	24201	24888
493	24267	24856
494	24328	24819
495	24402	24796
496	24818	25118
497	24906	25106
498	24963	25063
499	25022	25022
500	25089	24989
501	25153	24953
502	25393	25091
503	25473	25068
504	25527	25022
505	25585	24978
506	25651	24943
507	25709	24899
508	25759	24848
509	25806	24794
510	25852	24739
511	25913	24698
512	25964	24648
513	26026	24609
514	26086	24567
515	26147	24525
516	26199	24476
517	26255	24430
518	26315	24388
519	26374	24345
520	26432	24301
521	26484	24251
522	26538	24204
523	26597	24161
524	26652	24114
525	26706	24066
526	26773	24030
527	26839	23992
528	26893	23945
529	26945	23895
530	26995	23843
531	27052	23798
532	27105	23748
533	27160	23701
534	27199	23640
535	27263	23601
536	27315	23551
537	27366	23500
538	27414	23447
539	27476	23405
540	27529	23356
541	27582	23307
542	27638	23261
543	27690	23211
544	27734	23154
545	27778	23098
546	27830	23047
547	27886	23001
548	27941	22953
549	27992	22902
550	28044	22853
551	28091	22799
552	28142	22747
553	28184	22690
554	28226	22632
555	28254	22563
556	28288	22498
557	28343	22451
558	28393	22399
559	28437	22344
560	28482	22288
561	28518	22226
562	28559	22167
563	28606	22114
564	28654	22061
565	28693	22001
566	28734	21943
567	28783	21891
568	28833	21840
569	28875	21783
570	28919	21727
571	28968	21675
572	29020	21625
573	29073	21577
574	29121	21524
575	29172	21474
576	29211	21415
577	29262	21364
578	29313	21314
579	29356	21258
580	29398	21201
581	29432	21138
582	29475	21082
583	29520	21028
584	29568	20976
585	29613	20921
586	29662	20870
587	29711	20818
588	29749	20759
589	29795	20705
590	29839	20650
591	29882	20594
592	29930	20542
593	29987	20496
594	30034	20443
595	30082	20391
596	30127	20337
597	30181	20289
598	30231	20238
599	30278	20185
600	30317	20127
601	30359	20071
602	30410	20021
603	30463	19972
604	30513	19922
605	30555	19866
606	30595	19809
607	30644	19757
608	30690	19704
609	30728	19645
610	30762	19585
611	30803	19529
612	30845	19473
613	30898	19424
614	30938	19368
615	30986	19316
616	31030	19262
617	31071	19205
618	31110	19148
619	31150	19092
620	31191	19036
621	31232	18980
622	31274	18925
623	31309	18865
624	31354	18812
625	31398	18758
626	31439	18703
627	31480	18647
628	31514	18588
629	31557	18533
630	31610	18485
631	31654	18431
632	31694	18375
633	31736	18320
634	31782	18268
635	31831	18218
636	31875	18164
637	31917	18110
638	31958	18055
639	31992	17995
640	32041	17945
641	32081	17889
642	32111	17828
643	32150	17772
644	32193	17718
645	32242	17668
646	32286	17615
647	32323	17558
648	32364	17503
649	32408	17450
650	32442	17392
651	32489	17340
652	32533	17287
653	32575	17234
654	32624	17183
655	32669	17131
656	32709	17076
657	32753	17024
658	32799	16972
659	32841	16918
660	32891	16868
661	32932	16814
662	32978	16762
663	33025	16711
664	33077	16662
665	33123	16611
666	33165	16557
667	33202	16501
668	33242	16447
669	33287	16395
670	33336	16345
671	33377	16291
672	33419	16238
673	33464	16186
674	33512	16135
675	33559	16084
676	33603	16032
677	33653	15982
678	33693	15928
679	33740	15877
680	33790	15828
681	33834	15776
682	33878	15723
683	33919	15670
684	33969	15621
685	34018	15571
686	34060	15518
687	34106	15466
688	34154	15416
689	34205	15367
690	34249	15315
691	34293	15263
692	34335	15210
693	34380	15158
694	34425	15107
695	34477	15059
696	34522	15007
697	34568	14956
698	34614	14905
699	34669	14858
700	34714	14807
701	34759	14755
702	34801	14702
703	34841	14649
704	34885	14597
705	34936	14548
706	34982	14497
707	35026	14445
708	35068	14393
709	35116	14343
710	35165	14293
711	35213	14243
712	35263	14194
713	35305	14142
714	35355	14092
715	35403	14042
716	35448	13991
717	35494	13940
718	35537	13888
719	35582	13837
720	35627	13786
721	35672	13735
722	35715	13683
723	35762	13633
724	35811	13583
725	35860	13534
726	35905	13483
727	35950	13432
728	35994	13380
729	36046	13332
730	36096	13282
731	36144	13233
732	36192	13183
733	36240	13133
734	36292	13085
735	36338	13034
736	36397	12988
737	36453	12941
738	36506	12893
739	36569	12848
740	36623	12801
741	36665	12749
742	36709	12697
743	36764	12650
744	36805	12597
745	36846	12545
746	36889	12493
747	36938	12444
748	36987	12394
749	37032	12344
750	37072	12291
751	37113	12239
752	37163	12190
753	37214	12141
754	37261	12091
755	37307	12040
756	37352	11990
757	37402	11941
758	37452	11891
759	37496	11841
760	37536	11788
761	37572	11735
762	37617	11684
763	37669	11636
764	37712	11584
765	37756	11534
766	37789	11479
767	37835	11429
768	37881	11379
769	37920	11326
770	37963	11275
771	38006	11224
772	38050	11173
773	38098	11124
774	38143	11073
775	38185	11022
776	38228	10971
777	38278	10922
778	38328	10873
779	38374	10823
780	38419	10773
781	38466	10723
782	38516	10674
783	38567	10625
784	38617	10576
785	38660	10525
786	38696	10473
787	38749	10424
788	38795	10374
789	38836	10323
790	38878	10272
791	38922	10222
792	38968	10172
793	39017	10122
794	39061	10072
795	39106	10022
796	39149	9971
797	39191	9920
798	39236	9870
799	39282	9820
800	39326	9770
801	39370	9719
802	39419	9670
803	39465	9620
804	39507	9570
805	39541	9517
806	39579	9465
807	39623	9415
808	39674	9366
809	39719	9316
810	39764	9267
811	39809	9217
812	39858	9168
813	39904	9118
814	39943	9067
815	39988	9016
816	40034	8967
817	40089	8919
818	40146	8872
819	40196	8823
820	40249	8775
821	40298	8726
822	40356	8679
823	40407	8630
824	40456	8581
825	40495	8530
826	40561	8484
827	40613	8436
828	40663	8387
829	40715	8339
830	40762	8289
831	40820	8242
832	40867	8193
833	40917	8144
834	40971	8096
835	41031	8049
836	41085	8001
837	41141	7953
838	41196	7905
839	41252	7857
840	41302	7808
